key	name	xpos	MtFreeze	MtLL	MtWmt
fr	French	1	5.332872693239323	6.608504012929764	12.929443377044677
es	Spanish	2	4.523495297217078	6.353324278301611	13.323590858337544
ru	Russian	3	4.368787663709368	7.021856958069873	12.925237547165615
zh	Chinese	4	3.0397946948608983	6.0309104590856935	12.707558887053358
ko	Korean	5	2.9548939671474415	6.356895582886708	12.825673059680872
ar	Arabic	6	4.160476937945206	6.738005393866072	13.123667506869197
hi	Hindi	7	3.203788970871212	5.243201791570945	12.723870456756101
pz_real	Paren, real	8	0.6451194343287119	6.261086868143855	12.596343315254122
pz_syn	Paren, synth	9	0.8155098897438009	6.145796864995524	13.194674904463902
disc_large	Disc, large	10	2.0805373498551	4.435146879696963	12.926100173223581
disc_small	Disc, small	11	0.190527407753092	0.3837410752007806	0.16908099603058488
recon_1	Rec, large	12	0.8596674601878694	2.5037117810428517	1.9231142837342319
yao	Yao+	13	1.0390550999365085	2.573379731464934	0.01278122106318877
mu_sw	Mu+, SW	14	1.0518470206119097	1.8572408086222822	0.0019351189705201974
mu_cub	Mu+, CUB	15	1.445422768770813	2.349862899688061	12.706866641129317
rand	Random	16	0.0005419284672212063	1.0176575308329152	0.0
no_pt	No pretrain	17	0.05995444143349249	3.4318703046295984	0.10217863128445374
